Cluster	Words
38161	putative protein mitochondrial smp myristoylated small cysteine peptidase 1 calpain
411	-
23281	protein nramp1 pgpase had tfiif iiib 6 15 carboxy polymerase e hydrolase phosphoglycolate regulation phosphoprotein b nif haloacid nli ctd methylthiopentenyl phosphatase a involved superfamily polypeptide hydroxy interacting hisb subfamily terminal c histidine phosphat including phosphate 3 dehalogenase 2 like keto domain rna ii 5 bifunctional acid factor 4 small biosynthesis family in 1 trehalose
23283	protein fibrous rubredoxin ppase rnapol polymerase kda nadh subunit pyrophosphatase 8 sheath iie zf 7kd interacting transcription ribbon terminal c dna rubrerythrin alpha 2 initiation zn domain rna factor zinc directed 7
38169	protein ribonuclease n dot high repeat of placental e subunit secretion the rich system pancreatic and leucine tropomodulin growth leiomodin immunoglobulin nerve interacting 16a icm terminal c alpha 3 27 5c 2 domain 5 rab nogo factor substrate containing actin receptor geranylgeranyltransferase family affinity 1
23285	protein threonine synthetase associated 6 nucleotidyltransferase polymerase nrap methyltransferase oligoadenylate pip5k1a ycf1 pap oas1 trna a poly membrane putative ligase targeted nuctransf2 nucleolar c o second 2 like rrna regulated rna fibrillarin d5 domain 5 terminus small u3 1 speckle
1382	protein adenosine type elac recognition monophosphate phosphodiesterase thymidylate gtpase of kin particle e secretion h the system 9 translocating aaa c ftsy na 3 or signal 2 atpase iv domain kinase ii adenylate 5 28 4 t2sse diphosphate zinc receptor f 7
41545	-
15886	protein calmodulin scallop with ca sparc immediate binding dependent troponin rich early calcyclin and finger putative mitochondrial free carrier rtf2 0 ie c region secreted ring calcium baculo aralar1 ef baculovirus domain kinase s100 hand acidic myosin regulatory cysteine zinc in 1 bdg
43212	protein ccd calcoco1 member of golga2l5 binding and general a putative golgin subfamily gcn4 region calcium or 2 like ccdc155 domain control 5 coil coiled kash
47084	-
28950	-
11363	protein wgs cell associated stress caeq00000000 cyyr1 rich data and mucin15 annotated contig membrane mid2 700 wall project like tyrosine cysteine sensor 1
11360	protein microbial repair 40s n ppase specific insert of tfiib polymerase subunit nadh k pyrophosphatase and s27e zf ribosomal finger mitochondrial transcription ribbon helicase terminal dna rad25 i adk initiation rna domain ii ssl2 factor small s27 zinc complex rrn7 directed
32819	glycoprotein like protein amastin surface b
32818	subunit protein like prot c proteasome regulator pi31 inhibitor
48058	protein chain ccd calcoco1 of tail binding b troponin and general heavy taxilin tropomyosin porcine c gcn4 region calcium muscle or like ccdc155 skeletal domain control ii coil coiled myosin containing kash nonmuscle cardiac
32813	putative protein gene dgf dispersed family 1
32811	wgs repair homolog endonuclease of caeq00000000 iii transcriptase subunit reverse data trna annotated line a contig distending dna enzyme pseudouridine cytolethal synthase project 383 domain exonuclease toxin 1 b
19170	-
32817	box protein catenin repeat of suppressor wd and skp2 skp1 1a kinetochore cdc4 beta domains trcp1 linker f 1
51046	protein splicing u2af polyadenylation limkain recognition cytoplasmic stranded with kda rbd mki67 subunit binding phosphoprotein fha 65 and rnp a element interacting 19 rrm putative probable rbms2 nucleolar export multiple 3 or 2 motif like rna domain b1 single 5 factor rbm19 k 1
19175	protein demethylase hydroxylase ul2 l32e subunit arginine l32 and ul3 jmjd6 uncharacterized ribosomal putative l8 lysyl ul4 60s rna complex large bifunctional
47081	protein to phosphatidylinositol type delta candidate lateral vp115 of rpgr iii phospholipase aba from 1 double similar als2cr11 first interacting 11 membrane c2b amyotrophic related vii c alpha calcium a2 phosphate 3 cytosolic 2 like bound domain kinase 4 containing beta synaptotagmin c2 sclerosis
5275	protein mrna splicing cus1 associated sm stranded of subunit rse1 snrna u6 sf3a2 binding pre u1 the sf3a double zf jaz prp11 finger c2h2 brr2 prp11p lsm3 2 like snu114 rna factor zinc prp9 prp8 complex 3a
35452	-
19280	box protein like transcriptional related domain terminal c factor tub king family f 1 tubby
23868	-
19286	protein reverse dependent rna l1tc dna rvt product polymerase unspecified 1 transcriptase
23864	uroporphyrin protein porphyrin methylase methylases urom iii dphb methyltransferase e tp and cbie tetrapyrrole corrin 6a putative diphthine 6y sumt c cobf cysg siroheme synthase methyl 2 cobalamin domains 5 ester 107 4 biosynthesis precorrin coba 1
19288	project 383 wgs data annotated caeq00000000 contig
23860	protein mrna long splicing transferase n prorp farnesyltransferase import specific repeat pentacotripeptide of ogt member kda 116 subunit ppr tom20 caax pre 77 ram2 8 glcnac stimulation putative mitochondrial subfamily processing terminal region promoting tpr c plant alpha o tetratricopeptide chaperone 2 dnaj domain p110 pkng rab kinase factor containing anaphase g complex geranylgeranyltransferase cstf3 cleavage receptor 1
23861	protein repair 2721 18 rad60 6 kda prok pml prokaryotic modifier e fold immediate neurl1b early ubc leukaemia w tgtwinscan 19 ligase e2 finger putative 0 ie ubiquitin c dna enzyme oncoprotein ring 3 baculo acute 2 e3 mgrn1 conjugating sumo baculovirus domain promyelocytic proto containing ufc1 family 1 b
23862	disulfide bond protein selp n type ost6 p 15 thiol of dim1 isomerase formation e the u6 transporter thioredoxin ttha0593 11 9 selenoprotein probable terminal c region component facilitator dsba mitosis u5 2 ost3 like snrnp u4 peroxiredoxin family 4a 1
28338	serine protein binding threonine group kinase betaine probable tkl transport opuaa glycine glka atp
23695	protein tyr monoclonal sodium associated trp natural 6 aminobutyrate gamma tryptophan transporter permease nramp antiporter aa 7f11 cotransporter neutral putative glucose resistance light macrophage apct probable transmembrane coupled anti trans perm fab tyrosine acid amino family glutamate
27153	box ercc3 mrna splicing associated xpb rad54 of deah bat1 the dependent pre hamily homologue superfamily on helicase probable terminal c dna snf2 rad25 ddx48 crispr recq atp uap56 rna domain ii factor 4 spliceosome strawberry cas3 dead family notch
25131	protein p 6 isomerase e myo ino1 glucose c phosphate synthase 3 dehydrogenase inositol like inos 5 4 synth glyceraldehyde 1
25132	putative protein resistance transporter efflux triose multidrug emre hexose transmembrane tpt translocator phosphate family uncharacterized uaa
25138	-
25429	protein masp associated surface mucin
25422	-
25420	putative protein gene dgf surface protease gp63 dispersed family 1
25426	protein to rbp7 ecr1 scleroderma 6 of autoantigen polymerase 13 e kh subunit binding the rrp40 exosome involved polymyositis rrp4 ribosomal related processing terminal c dna component 3 2 rna domain ii exonuclease 4 s1 rpoe complex directed in 1
42032	-
46060	putative transporter facilitator major superfamily
46062	like binding domain coil and calcoco1 coiled calcium
46067	protein major efflux tripeptide organic tri12 transporter permease fungal lactose abc multidrug oatp general mdfa product superfamily anion trichothecene polypeptide unspecified putative solute carrier sugar di facilitator phosphate 3 2 glycerol domain transport substrate pump mfs facilitated family
46066	protein like gemin7 binding domain lsm14 scd6 gem pab1 associated laqu0s05e01134g1 sm ataxin atx 2 1 7
46069	protein chromobox transcription domain homolog emsy factor spt5 ent elongation predicted
42039	reductoisomerase idh oxidoreductase n 18 isomerase d e fold gamma chiro binding 12 gapdh gfo acetyl erythrose dxp moca mitochondrial nad reductoisom c gp dh phosphate 3 xylulose 267 2 inositol dehydrogenase reductase domain alcohol 5 rossmann triosephosphate glutamyl 4 argc deoxy family glyceraldehyde 1
6689	putative transporter divalent co domain mg2 mgte magnesium mg cbs cation ni
50427	protein multi sodium progressive efflux detoxification rft transporter antiporter multidrug and polysaccharide drug antimicrobial putative ankh terminal c synt na extrusion ankylosis domain mate toxin biosynthesis family polysacc 1
2429	protein chain type ccd calcoco1 of kelch subunit binding and heavy laminin uncharacterized tropomyosin porcine region striated calcium or 2 propeller like ccdc155 domain coil 4 coiled myosin kash beta duf2353 cardiac
39900	-
2420	protein mrna splicing miz ppase conjugation 6 kda 116 sp e nadh pre pyrophosphatase 8 zf finger putative ligase bard1 ribbon processing ubiquitin c a2l ring e3 zn sumo pias2 domain siz1 factor uv zinc e4
2423	protein transferase subunits holo e 8 pptt carrier phosphopantetheinyl fatty c alpha synthase 2 acyl acid 4 sfp 7
39908	l23 protein 54s to rml2 subunit l23e similar ribosomal putative mitochondrial l14p 60s rna 50s apis mellifera complex l14
2425	18 kda antigen e glycoprotein sialidase surface putative terminal c trypanosoma 3 2 trans neurotoxin domain 85 botulinum 1
32105	putative protein arginine rna n c 1 methylase hnrnp methyltransferase prmt1 l11 ribosomal 2 e
19824	uncharacterised protein type major tr tripeptide transporter permease lactose abc multidrug and acetyl mdfa a superfamily coenzyme solute carrier sugar di facilitator ybfb phosphate 3 2 glycerol acatn 4 mfs other facilitated family 1
16347	-
16833	protein binding calcium 17 tb flagellar
32100	-
16831	putative pse transcription rna factor leader spliced promoter
40945	-
19828	box protein binding factor g actin f
16839	protein to division cell n holoenzyme specific saccharomyces repeat tfiib polymerase g1 iib with e viral dependent cyclin pho85p similar e1 pho80 d1 interacts transcription terminal c cerevisiae 2 s yol001w like 22 rna kinase ii domain factor containing pho85 11 7
12107	h4 histone
19822	54s protein fesod dismutases manganese rml2 15 e subunit tcp10 1 ribosomal mitochondrial fe spindle terminal c dismutase iron sod t 2 anastral exodeoxyribonuclease 10 domain superoxide 4 terminus complex large sas 7
6352	protein rim chain hcr calcoco1 cellular of autoantigen iib non binding the rod golgi nmmhc and heavy putative zone striated helical alpha calcium muscle cast 2 cytomatrix like my 10 domain nonmuscle adp active coil ii factor 4 coiled myosin ribosylation 1 b
12102	nuclease protein fanconi associated 21 e vrr uncharacterized mtmr15 c dna 3 nuc domain coil 4 coiled containing 1
6351	-
9242	protein glyoxalase polyadenylation hydrolase subunit dependent and poly specificity hydroxyacylglutathione lactamase metallo 3 like zn ii factor zinc cleavage beta
9341	protein 45 associated 6 member endo ganglioside differentiation solute carrier alpha 3 2 induced dcw1 mannosidase mannan family 1
9343	kinase tate phosphoglycerate dna transposon
9612	putative protein transmembrane
36489	-
9346	putative protein like leishmanolysin m ma metallopeptidase clan surface m8 protease metallo family peptidase gp63
10168	protein bartl1 spry 6 arl3 e binding and finger c ring 3 2 like domain adp 5 factor containing ccdc104 ribosylation 1
36956	box ercc3 mrna protein splicing excision repair to rad54l xpb rad54 6 deah bat1 afuhel308 dependent pre homologue a interacting putative on human helicase probable terminal c dna frq rad25 snf2 ddx48 inferred by atp uap56 like rna domain factor 4 ercc spliceosome orthology strawberry dead complex family notch
36486	disulfide monothiol selp transferase n type p 15 thiol isomerase e gst thioredoxin ttha0593 11 9 selenoprotein glutaredoxin probable terminal c region alpha 2 s class domain peroxiredoxin glutathione 1
36952	protein nf variant cbf centromere cbfd h2b yb3 hmf of x fold subunit and a h3 archaeal putative z sevenless transcription kinetochore associating c dna component cenp nfyb son t s h4 histone like core domain nuclear factor complex y beta h2a
36481	project putative wgs glycosyltransferase data 1703 annotated glcnac caeq00000000 contig
9618	-
36483	protein sorbitol transferase specific pyrab10780 carboxyl d e methyltransferase subunit dependent l sam leucine 33 family uncharacterized ribosomal rlmj methyltransf spermine putative large related lcm c histidine spermidine 16 o synthase 2 reductase dehydrogenase rna 5 ketose isoaspartyl rsmj 1
46685	-
46686	-
46681	protein oxide n hpii 6 ix e lipoxygenase allene 1 a uncharacterized putative catalase terminal c synthase domain ii containing protoporphyrin 11
21250	protein chain ezra ccd calcoco1 of formation binding troponin septation and heavy uncharacterized c region striated ring calcium muscle regulator or 2 like ccdc155 skeletal domain coil coiled myosin kash duf2353
46689	protein long ribonuclease prorp adenosine p repeat pentacotripeptide of kda pathway methyltransferase subunit ppr 70 evolutionarily fimbrial pentatricopeptide and putative mitochondrial twitching ecsit n6 intermediate region rpm2 biogenesis conserved signalling toll at3g46870 containing in
46688	subunit gamma putative mitochondrial chain unk c 14 3 atpase synt 6 alpha f1 synthase atp e
14889	-
37579	cog6 subunit conserved putative protein vps52 component c oligomeric exocyst sec3 complex family sac2 1
1810	patch telomerase protein domain pin2 terf1 x1 containing g interacting 2 1 inhibitor
37573	serine protein sorting 64213 threonine homolog type calcineurin polymerase tartrate e subunit gamma metallophosphoesterase resistant ymdb phosphatase vacuolar superfamily uncharacterized 29 vps29 c dna plant secreted pp1 zgc 3 signal purple 2 c17orf48 phod like peptide domain acid ii metallophos 5 small family 1 catalytic
33052	protein ccd calcoco1 15 of nucleoporin binding epidermal segregation repeated and general fg2 fg growth chromosome putative gcn4 region calcium or atpase like ccdc155 domain control coil factor substrate coiled receptor kash 1
1818	-
33055	protein calm rubredoxin type c3hc4 gga3 myeloid nup153 enth binding zranb1 pore gtp and vhs zf leukaemia finger assembly independent clathrin others ranbp ubiquitin lymphoid cation ran zn domain nuclear adp gga2 thioesterase factor containing zinc complex ribosylation in 1
37574	nuclease isoform of rai1 the decapping differentiation translation erythroid related structure 3 gh22530 s initiation rna factor complex eukaryotic crystal 1 b
45262	project 700 wgs data annotated caeq00000000 contig
45263	protein diadenosine to nudd hydrolase subunit 39s mutt pyrophosphatase ap4a mannosyl gdp ribosomal mrp mitochondrial tetraphosphate large related nudix mannose l46 2 nucleotide mrpl17 rna domain adp 4 ribose complex family
48301	putative protein masp tcmucii associated surface protease mucin gp63
48307	putative protein transmembrane
45264	-
45268	protein mrna fact splicing mynd metallopeptidase 18 spt16 of creatinase 13 peptidase e subunit suppressor mtg8 binding mss51 zf prolidase methionine finger 9 mitochondrial 51 terminal c 3 2 chloroplastic m24 like domain aminopeptidase 4 c6h2 containing zinc complex family 1d 11 catalytic
48309	-
41213	n 6 if6 methyltransferase ribosome rpl37e setd2 rpl40e rpl39e translation eif6 lysine eif rpl34e anti histone initiation rpl44e aif6 factor association eukaryotic family
41212	putative protein masp tcmucii associated surface mucin
44687	fact metallopeptidase 18 spt16 dipeptidase creatinase 13 peptidase e subunit prolidase methionine 9 putative terminal xaa c 3 m24 aminopeptidase 4 pro complex family 11 catalytic
40168	-
40166	protein ul5 ul2 l28e subunit ul16 el13 ul3 family ribosomal el18 l28 malate dehydrogenase ul4 60s rna ul13 complex large
40167	citrate protein bond dikinase barrel yfau dioic hpch of oxo dihydroxyhept pep e fold the galactarate aldolase tim ene dehydro 20 deoxy hydroxy macrophomate sugar terminal c heptane enzyme pyruvate dioate phosphate 3 synthase 2 lyase utilising keto domain kinase acid 4 40 hpai utilizers family 1 7
44689	-
26954	putative protein retrotransposon rhs domain sialidase spot sh3 hot trans
40162	end 18 specific 6 repeat member kda e glycoprotein dihydroxy dioxa sialidase leech bnr system extracellular 8 surface intramolecular neuraminidase superfamily nanb hydroxy putative ycf48 assembly acetylamino terminal c trypanosoma 3 2 trans ethyl cellobiohydrolase domain bicyclo ii group reducing 85 factor oligoxyloglucan 4 containing photosynthesis psii family 1 7
26952	central protein n adenosine associated holliday cellular 6 of activities with aps various arok non katanin subunit a1 nucleotidase binding proteasome spastin p60 ruvb 26s d1 aaa hydrolytic fidgetin helicase shikimate region dna activating 3 atp atpase motor like dynein domain kinase adenylate 5 terminus containing regulatory phosphosulfate junction site family 1
37683	-
37685	dentin sialophosphoprotein
23075	dao oxidoreductase geranylgeranyltransferase e nadh binding dependent thioredoxin dihydrolipoamide 8 a oxidase dihydrolipoyl gdp 9 fad nitrite c component guanosine guanine reductase nucleotide dehydrogenase 2 dissociation domain rab 4 diphosphate gdi proteins 1 inhibitor
14087	-
14089	-
47234	kinetoplast protein associated dna
1608	serine protein central threonine n associated keap1 repeat kelch glyoxal galactose and oxidase ech oxid activating 3 recombination rag2 2 like domain kinase btb terminus containing proteins 1
3229	-
1977	protein elongation member wbp4 binding wwiii loc100036982 a4 ww ligase transcription ubiquitin nedd4 apbb1 regulator beta precursor domain 4 family amyloid 1 b
37996	protein 24 antibody n repressor adr1 stranded mp81 replication binding primosomal editing finger putative dna transcriptional domain rna single vhh zinc ctcf complex mp63 krepa3
45087	protein deoxynucleotidyltransferase es4 dnttip2 pre rps6 interacting putative processing terminal rps18 rps5 us13 es6 2 like rps7 fcf2 rrna rps4 es7 us7
45083	protein retrotransposon rhs spot hot
45080	-
40309	protein import type 21 member rectifier inward of coupling ta subunit binding the transporter permease system multidrug abc sulfate energy superfamily sensitive membrane putative aaa resistance terminal msba c histidine region transmembrane atp thiosulfate atpase iv potassium class domain channel kinase adenylate cysa factor toxin cassette abieii g sub family predicted
2848	serine protein pdz n type associated rad60 plic 6 of inverted iii with e secretion guanylate trypsin 12 do system kiaa0705 polyubiquitin otub2 parkin membrane 19 ligase smt3b terminal ubiquitin c wss chaperone avrpphf 3 2 yukd e3 like orf2 sumo domain kinase thioesterase 4 sld orf1 protease wxg100 magi
49461	protein isoform cell 6 poz kctd5 gated kctd7 plzf and kctd1 leukaemia finger lymphoma bcl6 voltage adapter akv3 x3 2 potassium domain channel btb promyelocytic containing cul3 zinc mediated for 1 b
43703	protein mrna splicing chain dipeptidyl middle n homolog wdr bbs2 es4 repeat of ge1 kda 116 with enhancer peptidase subunit h ciliary wd40 pre wd rps6 8 methylamine decapping bbsome interacting d1 assembly processing terminal rps18 c region dpp us13 rps5 es6 transducin dppiv heme 2 dehydrogenase iv rps7 dynein 55 factor containing rps4 actin mid complex 40 family es7 1 us7
2844	protein like 30 dpy motif acyl phospholipid calmodulin family fatty 4 synthase cyclopropane
2842	protein n 30s engc gtpase rsga es1 binding es28 eif1a es8 ribosomal archaeal putative translation 1a yjeq aif1a probable s11 terminal eif1ad if eif initiation domain rna factor es7 1
44354	-
2840	-
4005	protein cyclic peptide ms transporter regulated channel ion terminal conductance c mscs yggb small family nucleotide mechanosensitive
28502	mtnx nramp1 pgpase had iiib p 6 15 of carboxy polymerase e hydrolase phosphoglycolate nucleotidase the b pyrimidine nif haloacid nli methylthiopentenyl phosphatase a superfamily polypeptide hydroxy interacting nitrophenyl subfamily terminal c phosphat phosphate 3 dehalogenase 2 like keto domain rna ii 5 acid factor 4 small pho2 family 1 trehalose
3321	protein mch1 major tripeptide transporter permease abc multidrug general mdfa superfamily putative solute carrier di facilitator 2 like domain nodulin substrate facilitated family
3322	-
3323	serine putative like dynein kinesin osm3 subtilisin peptidase
14268	phosphoglyceric kinase acid 5 phosphoglycerate c imido triose phosphate adenyly magnesium pgk 3 isomerase triphosphate 2 e 7
5473	-
28505	protein splicing u2af polyadenylation cytoplasmic stranded with kda subunit binding 65 and element interacting 19 probable rbms2 export alpha multiple plait 2 nucleotide motif rna single factor 4 rbm19 beta
28509	-
14260	-
5478	project wgs 2165 data annotated caeq00000000 contig
20076	protein homolog type muscleblind nup475 nab2 tristetraproline binding response ccch zf unkempt finger putative kiaa1064 c19orf7 polyadenylated butyrate tis11d ring 3 2 like rna domain nuclear factor containing ttp zinc complex family tis11 1
20077	p21
45884	protein domain homolog factor grpe of exchange head molecular nucleotide
38759	protein mrna pts1 splicing long transferase pex5 n type geranylgeranyltransferase prorp import specific repeat pentacotripeptide of kda 116 targeting subunit peroxin ppr tom20 pre geranylgeranyl 77 8 peroxisomal stimulation upf0661 mitochondrial processing terminal region promoting tpr c16d10 plant 01c alpha tetratricopeptide signal 2 domain pkng kinase rab factor containing anaphase g complex cstf3 receptor cleavage 1
38756	putative tcmucii mucin
38754	binding and myosin unconventional lipid actin tail th1
38752	-
38753	-
20078	protein repair delgip1 6 polymerase e binding one zf interacting bind finger putative csl ribbon helicase related probable delgef c dna dph3 nob1 lysine rad25 3 2 nin like zn duf1451 rna domain ssl2 diphthamide rimk biosynthesis containing zinc directed 1 7
37998	project putative protein rrna adenine wgs binding at n data dna annotated 6 caeq00000000 2442 contig methyltransferase
20483	-
30509	branch protein tyr monoclonal sodium chain associated trp aminobutyrate branched gamma tryptophan transporter permease antiporter aa 7f11 cotransporter glucose light apct probable region anti trans perm fab tyrosine acid amino transport family glutamate
30508	-
47936	protein long acetyltransferase n prorp repeat pentacotripeptide of with pathway subunit ppr evolutionarily pentatricopeptide a lipopolysaccharide repeats ecsit assembly terminal intermediate region tpr tetratricopeptide conserved signalling toll at3g46870 pkng kinase containing g complex in b
20482	protein diadenosine ec nmn ppase nudd tfiib hydrolase nadh mutt pyrophosphatase ap4a mannosyl zf gdp finger 19 tetraphosphate transcription ribbon nudix a2l mannose chloroplastic adenylyltransferase zn domain adp factor ribose zinc family bifunctional
30507	protein hexulose jelly cupin dioxygenase fdta barrel 6 isomerase 13 isomer d e fold lyxose 7s and 1 roll cysteamine lyx family uncharacterized glucose c aminoethanethiol pco ado seed 3 phosphate rmlc 2 conserved gpi keto like domain dtdp 4 containing cysteine deoxy gentisate storage 11
20953	lepa protein vps4b sorting to coli type mit e binding mim gtp charged multivesicular and vacuolar skd1 interacting 19 translation mitochondrial related c stam 3 domain microtubule factor 4 transport containing guf1 4b elongation 1 ist1
18167	at acetyltransferase n bacterial of with subunit the possible ard1 repeats med15 putative metazoa deactylase terminal ankyrin origin histone terminus complex mediator
39120	galactosyltransferase protein transferase n glycosyl 6 d galactofuranosyl coat acetyl polysaccharide poly putative glucosamine synthase 2 spore glycosyltransferase 4 b4galt1 biosynthesis spsa family beta 1
18160	putative protein masp like glycoprotein tcmucii associated surface mucin
19426	protein sorting trafficking dcc of flabarin 13 rvs e binding bin casein and appl sh3 interacting bar c alpha 3 2 amphiphysin grb2 wasp like domain kinase vesicular nexin containing family for 1 bdg
18169	serine protein lipase 6 of oxo epoxide e carboxylesterase fold hydrolase thioester the feruloyl superfamily phenylhexa hydroxy z coa bphd terminal c cellulosomal mammalian alpha xylanase 3 fsh1 2 domain abhydrolase esterase acyl modular dienoate thioesterase 4 family baat beta 1
38285	project wgs data annotated 1408 caeq00000000 contig
38287	-
20485	protein chain ccd calcoco1 of smc 73 binding troponin and heavy chromosome ccdc73 partition c region striated calcium muscle or 2 like ccdc155 skeletal domain coil coiled myosin containing kash family
20956	-
34081	serine protein splicing 12 arginine rna rich associated factor editing 1
34089	putative glycoprotein like protein masp tcmucii associated surface protease mucin gp63
29902	putative protein like resistant resistance sco6318 domain stress response scp2 tellurium uncharacterized terd
29905	putative protein masp associated surface mucin
37380	glutamate like qpct peptide domain ii cyclase carboxypeptidase ectodomain transferrin glutaminyl folh1 protease receptor cyclotransferase hydrolase
10089	-
14460	24 clostridium n type kda concanavalin e subunit glycoprotein binding lectin leech sialidase laminin surface a intramolecular superfamily bind putative 69 terminal c alpha 3 2 trans like neurotoxin glucanases thrombospondin domain r 85 botulinum 4 toxin neurexin g receptor 1
47302	-
47300	-
23678	-
48931	106 protein domain coil coiled containing ccdc106
48930	protein mrna splicing chain dipeptidyl n import vid27 cytoplasmic of ge1 with kda 116 peptidase enhancer h wd40 pre pore and 8 methylamine vacuolar involved decapping interacting vacuole assembly processing terminal cd26 region dpp export dppiv degradation 27 dehydrogenase iv dynein domain nuclear factor containing actin in 1 wdr
41119	protein isoform n lrr high ngr repeat with lymphocyte inducedprotein subunit guanylate rich and superantigen p53 leucine staphylococcal a growth nerve death 9 66 reticulon terminal c x1 alpha coupled 2 toll like domain kinase rab nogo variable factor 4 containing g receptor geranylgeranyltransferase affinity
46976	subunit protein beta2 binding ran the nuclear gtp structure importin karyopherin alpha of beta 2
27706	-
11105	putative protein gpi anchored 3 surface g receptor coupled 17 family gpcr
15591	-
6510	-
10790	protein isoform 2b ppase n type nadh lsd1 pyrophosphatase charged multivesicular zf finger putative ribbon terminal nudix 2 body domain zinc family b
15022	ligase protein binding rna pub14 ubiquitin mex3b e3
25969	protein n set7 specific of lsmt e methyltransferase k4 rubisco h3 finger 9 suv420h1 c pr set lysine clr4 2 histone domain 5 containing atxr5 zinc 43 1 catalytic
39489	protein locus homolog recognition repeat and nexus scl repeatcontaining membrane cpap spindle interrupting anastral 2 domain kinase 4 occupation morn sas
35133	companion protein gm19092 armadillo n type insensitive cnd1 repeat of smc 6 non fold subunit pr65alpha rapamycin psmb gi 472583280 proteasom a phosphatase rictor heat gb proteasome condensin 26s 2a fragment ems20923 protmap terminal adaptin importin c mitotic condensation alpha 3 by 2 atpase like term domain pp2a containing regulatory constant complex mtor beta 1
30342	tbingi 03 h25n7 protein
35135	-
35134	-
35137	protein fmv n type specific pyrab10780 d methyltransferase e subunit dependent l sam 79 ftsj sun h3 33 phosphoethanolamine uncharacterized ribosomal rsmb rlmj 11 methyltransf methionine fmu related c histidine lysine o 2 dehydrogenase histone s like rna alcohol small adenosyl large isoaspartyl rsmj 1 b
39481	box protein mrna splicing synoviolin n associated of carboxy erad kda 116 pml amfr stip1 pre and hrd1 8 fancl leukaemia interacting u not finger putative ligase rtf2 homology processing terminal ubiquitin c oncoprotein ring stub1 baculo acute e3 hsp70 like baculovirus domain promyelocytic factor terminus 4 containing proto zinc 1
35138	-
10021	protein long prorp repeat pentacotripeptide of with subunit ppr ribosome bovine pentatricopeptide repeats putative mitochondrial region promoting tpr transmembrane dppr tetratricopeptide 2 rna pkng kinase u10 small anaphase g complex family 1
31108	-
31109	protein conserved domain terminal region c psp1 family
8706	putative protein gene dgf dispersed family 1
32480	-
3813	-
3810	putative protein like mitochondrial nuclear membrane associated expressed tht1 gamete var1 fusion ribosomal 1
32485	protein mrna splicing chain 24 n repeat of big ge1 with kda 116 enhancer palb2 subunit h wd40 pre pore wd and 8 methylamine decapping not finger d1 ligase assembly partner processing anapc4 terminal ubiquitin c region promoting export localizer brother related ring heme dehydrogenase e3 dynein rfwd2 domain nuclear factor 4 brca2 containing anaphase complex wdr
32489	protein mrna to homolog utr repeat of member 6 mpt5 suppressor binding the 23 and repress similar binds ydr496c pumilio homology puf6 cerevisiae 3 2 like proteiny puf rna domain ash1 factor that fem complex family 1 saccharomyces
15093	protein repair dinb homolog n rad51 polymerase p2 e samb hhh rev1 sulfolobus putative dbh kappa impb terminal c dna tfox 2 mucb solfataricus iv motif domain ims complex family 7
30610	-
23491	-
8457	-
8455	-
34625	-
34620	zip protein putative metal regulated transporter zn2 permease related iron zinc fe2 family cation membrane
34621	serine protein threonine calmodulin hydroxyurea 6 kin pox catalytic e dual dependent aph ser and 1 mitogen specificity interacting lipopolysaccharide kdo resistance poxvirus co c waap hur ephb2 3 camk inducible 2 thr aminoglycoside antibiotic activated like phosphoinositide tyrosine kinase domain bmp pdk1 receptor family 11 7
8459	-
39152	protein elongation prolyl peptidyl centrosomal member of kda isomerase wbp4 formin binding wwiii nima interacting a4 ww ligase transcription smad7 ubiquitin nedd4 cep164 apbb1 cis regulator trans e3 beta precursor domain smurf1 4 164 family amyloid 1 b
39150	protein fmv type methylase specific pyrab10780 6 d e methyltransferase subunit dependent l sam ftsj sun polyprenyl involved benzoquinol 33 uncharacterized ribosomal rsmb rlmj 11 methyltransf fmu c methoxy histidine demethylmenaquinone spermidine 16 ubiquinone o menaquinone synthase 2 dehydrogenase like rna alcohol 5 bifunctional 4 small biosynthesis large isoaspartyl rsmj in 1 b
39159	-
39158	-
31360	-
7549	-
35860	-
35866	project 740 wgs data annotated caeq00000000 contig
35865	-
50505	protein rrna utp23 rna processing 23 domain associated nucleolar small containing fcf1 u3
7542	putative protein dopey n terminal cellular regulator morphogenesis
7544	-
35682	-
50503	1b protein isoform related calmodulin t21p5 troponin domain c containing x1 17 family fun14 1
16649	protein mrna axonemal splicing chain middle bbs2 cytoplasmic of ge1 with kda 116 enhancer subunit h ciliary wd40 pre pore 8 methylamine decapping bbsome interacting d1 putative assembly processing anapc4 terminal intermediate c region promoting export heme 2 dehydrogenase dynein domain nuclear factor 4 anaphase actin mid complex 1 wdr
19349	uncharacterised type major of tr tripeptide the transporter permease lactose abc multidrug and acetyl general mdfa a superfamily coenzyme solute carrier sugar di facilitator ybfb phosphate 3 2 glycerol acatn 4 substrate mfs other facilitated family 1
19618	serine protein 2b isoform sorting tetraphosphatase threonine calcineurin bis specific 6 polymerase bisphosphatase e fbpase subunit gamma metallophosphoesterase b x4 pol phosphatase vacuolar superfamily 29 2a pp5 vps29 c dna nucleosyl firmicute alpha epsilon 3 purple 2 fructose acid ii pp2a 5 metallophos small 1 catalytic
19619	putative protein transmembrane
